Investment,Category,Tranche,Notes
No R&D,CIGS,CIGS 0,
No R&D,CdTe,CdTe 0,
No R&D,GaAs,GaAs 0,
No R&D,InGaP,InGaP 0,
No R&D,Perovskite,Perovskite 0,
No R&D,Polysilicon,Polysilicon 0,
No R&D,Power Electronics,Power Electronics 0,
No R&D,Soft Costs,Soft Costs 0,
Moderate R&D,CIGS,CIGS 1,
Moderate R&D,CdTe,CdTe 1,
Moderate R&D,GaAs,GaAs 1,
Moderate R&D,InGaP,InGaP 1,
Moderate R&D,Perovskite,Perovskite 1,
Moderate R&D,Polysilicon,Polysilicon 1,
Moderate R&D,Power Electronics,Power Electronics 1,
Moderate R&D,Soft Costs,Soft Costs 1,
High R&D,CIGS,CIGS 2,
High R&D,CdTe,CdTe 2,
High R&D,GaAs,GaAs 2,
High R&D,InGaP,InGaP 2,
High R&D,Perovskite,Perovskite 2,
High R&D,Polysilicon,Polysilicon 2,
High R&D,Power Electronics,Power Electronics 2,
High R&D,Soft Costs,Soft Costs 2,