Technology,Scenario,Variable,Index,Value,Units,Notes
Wind Turbine,Reference,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Reference,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Reference,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Reference,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Reference,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Reference,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Reference,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Reference,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Reference,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Reference,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Casual Rotor R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Casual Rotor R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Rotor R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Rotor R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Rotor R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Rotor R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Casual Rotor R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Casual Rotor R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Casual Rotor R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Casual Rotor R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Focused Rotor R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Focused Rotor R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Rotor R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Rotor R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Rotor R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Rotor R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Focused Rotor R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Focused Rotor R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Focused Rotor R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Focused Rotor R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Intense Rotor R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Intense Rotor R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Rotor R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Rotor R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Rotor R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Rotor R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Intense Rotor R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Intense Rotor R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Intense Rotor R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Intense Rotor R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Casual Drive R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Casual Drive R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Drive R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Drive R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Drive R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Drive R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Casual Drive R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Casual Drive R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Casual Drive R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Casual Drive R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Focused Drive R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Focused Drive R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Drive R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Drive R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Drive R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Drive R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Focused Drive R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Focused Drive R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Focused Drive R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Focused Drive R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Intense Drive R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Intense Drive R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Drive R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Drive R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Drive R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Drive R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Intense Drive R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Intense Drive R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Intense Drive R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Intense Drive R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Casual Tower R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Casual Tower R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Tower R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Tower R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Tower R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Casual Tower R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Casual Tower R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Casual Tower R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Casual Tower R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Casual Tower R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Focused Tower R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Focused Tower R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Tower R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Tower R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Tower R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Focused Tower R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Focused Tower R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Focused Tower R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Focused Tower R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Focused Tower R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
Wind Turbine,Intense Tower R&D,Scale,NaN,1,%/100,"Scale of operations, relative to a 1.5MW turbine."
Wind Turbine,Intense Tower R&D,Lifetime,Rotor,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Tower R&D,Lifetime,Drive,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Tower R&D,Lifetime,Tower,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Tower R&D,Lifetime,BOS,"st.triang(0.3, 8.0, 2.0)",year,Reciprocal of the capital-recovery factor.
Wind Turbine,Intense Tower R&D,Input,Wind,10,m/s,Wind speed at 50 meters.
Wind Turbine,Intense Tower R&D,Input efficiency,Wind,0.593,%/100,Betz law.
Wind Turbine,Intense Tower R&D,Input price,Wind,0,n/a,Wind is free.
Wind Turbine,Intense Tower R&D,Output efficiency,Electricity,0.3282,%/100,Capacity factor.
Wind Turbine,Intense Tower R&D,Output price,Electricity,0,$/kWh,Not tracking revenue.
